group,id,method,repetition,dataset,scene,psnr,ssim,lpips,wall_time_s
primary,primary/R2/full/stump,full,R2,mipnerf360,stump,26.741012573242188,0.7567803859710693,0.29746881127357483,192.0
primary,primary/R2/full/treehill,full,R2,mipnerf360,treehill,22.885643005371094,0.6097977757453918,0.4319137930870056,202.0
primary,primary/R2/full/room,full,R2,mipnerf360,room,31.724590301513672,0.9171653389930725,0.22025978565216064,190.0
primary,primary/R2/full/counter,full,R2,mipnerf360,counter,28.973499298095703,0.9048447012901306,0.2066981941461563,206.0
primary,primary/R2/full/kitchen,full,R2,mipnerf360,kitchen,31.597749710083008,0.9271259903907776,0.1289065033197403,270.0
primary,primary/R2/full/bonsai,full,R2,mipnerf360,bonsai,31.907217025756836,0.9396309852600098,0.19273117184638977,212.0
primary,primary/R2/full/truck,full,R2,tnt,truck,25.577558517456055,0.86971515417099,0.18292135000228882,117.0
primary,primary/R2/full/train,full,R2,tnt,train,22.308591842651367,0.8003829717636108,0.24842673540115356,124.0
primary,primary/R2/full/drjohnson,full,R2,db,drjohnson,28.93265151977539,0.8912758231163025,0.2802087664604187,130.0
primary,primary/R2/full/playroom,full,R2,db,playroom,30.61734962463379,0.9040332436561584,0.2660810053348541,118.0
primary,primary/R2/wo_channel/bicycle,wo_channel,R2,mipnerf360,bicycle,24.777263641357422,0.7129639983177185,0.31201571226119995,233.0
primary,primary/R2/wo_channel/flowers,wo_channel,R2,mipnerf360,flowers,21.175691604614258,0.5577688813209534,0.4087170362472534,231.0
primary,primary/R2/wo_channel/garden,wo_channel,R2,mipnerf360,garden,27.1645565032959,0.834100067615509,0.1776220053434372,293.0
primary,primary/R2/wo_channel/stump,wo_channel,R2,mipnerf360,stump,26.67502784729004,0.7551740407943726,0.29854482412338257,198.0
primary,primary/R2/wo_channel/treehill,wo_channel,R2,mipnerf360,treehill,22.861661911010742,0.6105018258094788,0.43063315749168396,207.0
primary,primary/R2/wo_channel/room,wo_channel,R2,mipnerf360,room,31.756444931030273,0.9187266230583191,0.21883778274059296,197.0
primary,primary/R2/wo_channel/counter,wo_channel,R2,mipnerf360,counter,29.02477264404297,0.9055851697921753,0.2061341106891632,212.0
primary,primary/R2/wo_channel/kitchen,wo_channel,R2,mipnerf360,kitchen,31.667640686035156,0.9280003309249878,0.12832888960838318,276.0
primary,primary/R2/wo_channel/bonsai,wo_channel,R2,mipnerf360,bonsai,32.02447509765625,0.9411208629608154,0.19244638085365295,216.0
primary,primary/R2/wo_channel/truck,wo_channel,R2,tnt,truck,25.594261169433594,0.8707055449485779,0.18174126744270325,119.0
primary,primary/R2/wo_channel/train,wo_channel,R2,tnt,train,22.276363372802734,0.8016597628593445,0.24590155482292175,128.0
primary,primary/R2/wo_channel/drjohnson,wo_channel,R2,db,drjohnson,29.311302185058594,0.897343635559082,0.27815061807632446,134.0
primary,primary/R2/wo_channel/playroom,wo_channel,R2,db,playroom,30.749006271362305,0.9056443572044373,0.2682534456253052,120.0
primary,primary/R2/wo_temporal/bicycle,wo_temporal,R2,mipnerf360,bicycle,24.755661010742188,0.7123764157295227,0.3122870922088623,229.0
primary,primary/R2/wo_temporal/flowers,wo_temporal,R2,mipnerf360,flowers,21.17401123046875,0.5586537718772888,0.40676403045654297,228.0
primary,primary/R2/wo_temporal/garden,wo_temporal,R2,mipnerf360,garden,27.027345657348633,0.8338920474052429,0.17631690204143524,289.0
primary,primary/R2/wo_temporal/stump,wo_temporal,R2,mipnerf360,stump,26.635330200195312,0.756068229675293,0.29735904932022095,195.0
primary,primary/R2/wo_temporal/treehill,wo_temporal,R2,mipnerf360,treehill,22.82638168334961,0.609217643737793,0.4298754930496216,204.0
primary,primary/R2/wo_temporal/room,wo_temporal,R2,mipnerf360,room,31.705097198486328,0.9176430106163025,0.22022999823093414,192.0
primary,primary/R2/wo_temporal/counter,wo_temporal,R2,mipnerf360,counter,28.99383544921875,0.905306875705719,0.20643219351768494,207.0
primary,primary/R2/wo_temporal/kitchen,wo_temporal,R2,mipnerf360,kitchen,31.635135650634766,0.9271222949028015,0.1285078525543213,271.0
primary,primary/R2/wo_temporal/bonsai,wo_temporal,R2,mipnerf360,bonsai,32.02611541748047,0.9407453536987305,0.19247791171073914,212.0
primary,primary/R2/wo_temporal/truck,wo_temporal,R2,tnt,truck,25.57830047607422,0.8705623149871826,0.18253102898597717,118.0
primary,primary/R2/wo_temporal/train,wo_temporal,R2,tnt,train,22.259435653686523,0.8001589775085449,0.24762886762619019,125.0
primary,primary/R2/wo_temporal/drjohnson,wo_temporal,R2,db,drjohnson,29.391633987426758,0.8974226713180542,0.2787266969680786,131.0
primary,primary/R2/wo_temporal/playroom,wo_temporal,R2,db,playroom,29.566438674926758,0.8999276161193848,0.26683005690574646,119.0
primary,primary/R2/wo_densification_aware/bicycle,wo_densification_aware,R2,mipnerf360,bicycle,24.702749252319336,0.7093684673309326,0.3152866065502167,225.0
primary,primary/R2/wo_densification_aware/flowers,wo_densification_aware,R2,mipnerf360,flowers,21.216392517089844,0.5580623745918274,0.4071633517742157,228.0
primary,primary/R2/wo_densification_aware/garden,wo_densification_aware,R2,mipnerf360,garden,27.08587074279785,0.8331853747367859,0.17715436220169067,292.0
primary,primary/R2/wo_densification_aware/stump,wo_densification_aware,R2,mipnerf360,stump,26.648479461669922,0.7540540099143982,0.29980719089508057,190.0
primary,primary/R2/wo_densification_aware/treehill,wo_densification_aware,R2,mipnerf360,treehill,22.77414321899414,0.6089534163475037,0.43212059140205383,201.0
primary,primary/R2/wo_densification_aware/room,wo_densification_aware,R2,mipnerf360,room,31.72410774230957,0.9170359969139099,0.22148831188678741,189.0
primary,primary/R2/wo_densification_aware/counter,wo_densification_aware,R2,mipnerf360,counter,28.964353561401367,0.904090166091919,0.20813672244548798,205.0
primary,primary/R2/wo_densification_aware/kitchen,wo_densification_aware,R2,mipnerf360,kitchen,31.633380889892578,0.9269189238548279,0.12902426719665527,272.0
primary,primary/R2/wo_densification_aware/bonsai,wo_densification_aware,R2,mipnerf360,bonsai,31.879413604736328,0.9392247796058655,0.19448451697826385,209.0
primary,primary/R2/wo_densification_aware/truck,wo_densification_aware,R2,tnt,truck,25.55681037902832,0.8694214820861816,0.1837475299835205,119.0
primary,primary/R2/wo_densification_aware/train,wo_densification_aware,R2,tnt,train,22.34942626953125,0.7991731762886047,0.25099194049835205,124.0
primary,primary/R2/wo_densification_aware/drjohnson,wo_densification_aware,R2,db,drjohnson,29.321624755859375,0.8964359164237976,0.2808912694454193,129.0
primary,primary/R2/wo_densification_aware/playroom,wo_densification_aware,R2,db,playroom,30.408531188964844,0.9046686887741089,0.26775452494621277,118.0
primary,primary/R2/wo_ipw/bicycle,wo_ipw,R2,mipnerf360,bicycle,24.194477081298828,0.640136182308197,0.39101913571357727,189.0
primary,primary/R2/wo_ipw/flowers,wo_ipw,R2,mipnerf360,flowers,20.443134307861328,0.48486584424972534,0.4817889928817749,180.0
primary,primary/R2/wo_ipw/garden,wo_ipw,R2,mipnerf360,garden,26.75884437561035,0.8040043711662292,0.22550387680530548,253.0
primary,primary/R2/wo_ipw/stump,wo_ipw,R2,mipnerf360,stump,25.74148941040039,0.6935215592384338,0.3770217001438141,158.0
primary,primary/R2/wo_ipw/treehill,wo_ipw,R2,mipnerf360,treehill,22.64299774169922,0.5693498253822327,0.48507240414619446,171.0
primary,primary/R2/wo_ipw/room,wo_ipw,R2,mipnerf360,room,31.60391616821289,0.911011815071106,0.23593762516975403,181.0
primary,primary/R2/wo_ipw/counter,wo_ipw,R2,mipnerf360,counter,28.803157806396484,0.8981300592422485,0.2188674807548523,197.0
primary,primary/R2/wo_ipw/kitchen,wo_ipw,R2,mipnerf360,kitchen,31.49959945678711,0.9218037128448486,0.13856303691864014,258.0
primary,primary/R2/wo_ipw/bonsai,wo_ipw,R2,mipnerf360,bonsai,31.586429595947266,0.9326392412185669,0.20758962631225586,198.0
primary,primary/R2/wo_ipw/truck,wo_ipw,R2,tnt,truck,25.356515884399414,0.8581722378730774,0.1996903419494629,108.0
primary,primary/R2/wo_ipw/train,wo_ipw,R2,tnt,train,22.201976776123047,0.774986982345581,0.2773568630218506,114.0
primary,primary/R2/wo_ipw/drjohnson,wo_ipw,R2,db,drjohnson,29.260576248168945,0.8917738199234009,0.29297468066215515,119.0
primary,primary/R2/wo_ipw/playroom,wo_ipw,R2,db,playroom,30.310941696166992,0.8980318307876587,0.2866499125957489,106.0
primary,primary/R2/budget_matched_fullrgb/bicycle,budget_matched_fullrgb,R2,mipnerf360,bicycle,24.130962371826172,0.6351968050003052,0.3962327241897583,185.0
primary,primary/R2/budget_matched_fullrgb/flowers,budget_matched_fullrgb,R2,mipnerf360,flowers,20.39147186279297,0.4805278778076172,0.48649266362190247,176.0
primary,primary/R2/budget_matched_fullrgb/garden,budget_matched_fullrgb,R2,mipnerf360,garden,26.720212936401367,0.8004096150398254,0.2301306277513504,247.0
primary,primary/R2/budget_matched_fullrgb/stump,budget_matched_fullrgb,R2,mipnerf360,stump,25.631793975830078,0.6895946264266968,0.38016700744628906,153.0
primary,primary/R2/budget_matched_fullrgb/treehill,budget_matched_fullrgb,R2,mipnerf360,treehill,22.657794952392578,0.5675826668739319,0.4885943830013275,166.0
