group,method,dataset,executions,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std,wall_time_sum_s_mean,wall_time_sum_s_std
baselines,taming,all13,1,27.172826473529522,,0.8166752044971173,,0.2543812692165375,,4588.0,
baselines,taming,db,1,29.667490005493164,,0.8966090381145477,,0.2740791290998459,,486.0,
baselines,taming,mipnerf360,1,27.336485968695747,,0.7945354912016127,,0.2602410581376817,,3647.0,
baselines,taming,tnt,1,23.94169521331787,,0.8363700807094574,,0.20831435918807983,,455.0,
mechanism,factorgrad_full,all13,1,27.039597988128662,,0.8338976353406906,,0.24279306828975677,,792.0,
mechanism,factorgrad_full,db,1,29.523008346557617,,0.8973713517189026,,0.27934107184410095,,139.0,
mechanism,factorgrad_full,mipnerf360,1,28.188401222229004,,0.8190532028675079,,0.2214675024151802,,521.0,
mechanism,factorgrad_full,tnt,1,22.258581161499023,,0.800112783908844,,0.24889619648456573,,132.0,
mechanism,skipgs,all13,1,27.065000534057617,,0.8345098793506622,,0.24101785197854042,,820.0,
mechanism,skipgs,db,1,29.423561096191406,,0.8973308205604553,,0.2774827480316162,,145.0,
mechanism,skipgs,mipnerf360,1,28.24791431427002,,0.8201900124549866,,0.22033854573965073,,538.0,
mechanism,skipgs,tnt,1,22.340612411499023,,0.8003286719322205,,0.24591156840324402,,137.0,
primary,budget_matched_fullrgb,all13,3,26.883528342613808,0.018647899604901506,0.7884746468984164,0.0001514199422913568,0.29708464711140364,0.0001528801234423309,2194.6666666666665,27.682726262659415
primary,budget_matched_fullrgb,db,3,29.610766728719074,0.11359188710702874,0.8927110334237417,0.0005461394666272791,0.2931515822807948,0.0010192787440690915,220.0,2.0
primary,budget_matched_fullrgb,mipnerf360,3,26.98645083109538,0.011915799300827664,0.7594371018586336,0.0001619919231677697,0.31014072122397246,0.00013277839066961787,1755.3333333333333,22.5905584998099
primary,budget_matched_fullrgb,tnt,3,23.693138758341473,0.044474228651896874,0.8149072130521139,0.000315414588368208,0.2422653784354528,9.531433768317647e-05,219.33333333333334,3.2145502536643185
primary,fastgs_base,all13,3,27.383694526476738,0.025353714836335563,0.8196614919564663,0.00027270629852411634,0.2547505700435394,0.0001901812157661411,2918.3333333333335,37.43438704364389
